"play_uuid","play_ep","play_scrimmage_epa"
"97372022-fb51-4314-9745-d3f7e7533fea",3.6930708885,1.1388258934
"68beb191-c3d3-4d45-ad2a-8dec8f65565c",4.8318967819,1.3994445801
"27a8b54c-4327-4bae-906c-7c4ce7ab6327",6.231341362,0.7369537354
efee11b1-8c6e-40ab-b829-65aa98eecb94,,
"65df11cb-4828-4de4-89a5-0c09ebb84707",,
"05f6343a-8b0b-4b3b-9518-c4f6ed6353ec",0.9693489075,-0.2887976766
"92fdc7d6-a7d2-47d1-8f65-76965be261ca",0.6805512309,1.2087085247
f8fae856-801e-4d6d-8165-09f0887b16d0,1.8892598152,0.11088037490000001
bc06e4a2-1fc4-49aa-9ceb-2cfcb164de21,2.0001401901,-0.7179554701
"4a2db9d6-59d3-414e-bada-a640da3b43e4",1.28218472,1.4034415483
"9c7a5d5a-41fa-4a1f-aacd-041879a256ce",2.6856262684,-0.5287632942
"5c80cd91-f817-4362-8598-424e2641f3c7",2.1568629742,1.1742179394
e7c28b1e-1850-424d-b2ee-2b1a8716f9bf,,
"6a2860a2-ae96-466f-aea1-4bfdd56d226b",3.3310809135,-0.4294416904
"22808e7d-41de-45bb-9ca9-f933f78187ff",2.9016392231,4.0666561127
f88e70a4-73b3-447d-8f95-5c96fb0913b5,,
b1ec81ac-9973-45a2-a683-a5c6e4413ece,,
fa4fe3a8-c5bc-4e85-9fb7-5144a45bfcfd,1.1883300543,0.9363285303000001
"0915637f-d71f-4eae-b62f-b3e99d783352",2.1246585846,-0.4623351097
ce81b070-cf85-4b53-89e4-ccd2f63fb60a,1.6623234749,1.2000424862
e254d86e-acb1-4fb0-a4a0-d03adcabcf4e,2.8623659611,-0.38400578500000004
e557b227-653d-4454-9b9a-d1899acc9f4f,2.4783601761,1.2988753319
"7cab4eaa-40a4-494c-b687-06b5add6531b",3.777235508,-0.0317001343
"05da8779-c155-4938-9d0f-186f2676674a",3.7455353737,-1.6011087894
"209efbae-f97b-46c9-bee1-382aa2475a7d",2.1444265842,1.931044817
"5d1dbfb0-476f-4aa7-848b-841b0395d66a",4.0754714012,-0.2420918941
d4ad82f4-dbe2-4d1e-9844-b9343f3187e2,3.8333795071,-0.1770915985
ee7a9f72-4cc8-45ff-b1e8-e1363a740a9c,3.6562879086,0.7922275066000001
b16e01c3-f91e-458c-9516-3e8858ce3254,4.4485154152,0.0408291817
"818568fd-90a5-4271-9ac4-3d0367772970",4.4893445969,0.22433948520000002
"774610a8-5b4f-4af4-b0c7-dd99178fe1f9",4.713684082,-1.593660593
"6aa65567-8f9b-4df3-bc19-e9104bcd94d6",3.120023489,3.8482716084
"08a21207-4e96-4e1a-bcc9-c161c2fdaf32",,
a0811638-ab88-4b4b-afc7-30379eca322b,,
b747fdf1-e9aa-4ecb-8fdf-6bdde53a6662,1.2674902678,-0.056699872000000005
f278ea95-28c8-4b0f-b384-24d30d3fbca1,1.2107903957,0.026281356800000003
"5ad9d6f4-ad36-4b08-969f-f743c939485b",1.2370717525,-0.9869703054000001
a6e2aa2c-8f4c-476e-8aaf-3b97b35e9c72,0.2501014471,-0.2501014471
"7d387419-4886-4b6c-acda-991890e6357f",,
"88cec02d-be81-448c-959c-5db1ed8582b8",0.9345375299,-0.6613904238
"905d064c-1496-4fcb-9e03-78699ad5f546",0.2731471062,-0.6231364012
"3b8e5bc0-2e1b-485d-ac9c-e69717c53532",-0.34998929500000003,-1.4520813227
"7d2c21e7-a997-42dc-b253-ab06368a85f9",-1.8020706177,0.11284577850000001
"8e22da8c-dffb-4bcd-a28b-0ac5f60d28d6",1.6892248392,1.6025005579
ec278c72-be3f-4622-8eb8-b7175f2c9bb8,3.2917253971,3.6765697002
aa380587-5e6e-4a97-8671-beac2a32c3f3,,
"05b97323-b6bd-40da-875d-5cd2f1fb2b13",,
"52baaba1-6ad3-4191-b3d6-2f30b25eb258",0.9345375299,-0.6613265872
adb20297-445c-4423-8604-52c92369f38d,0.2732109427,-0.8663268089
a5e2aca4-621c-4656-b027-e0f4fa8a72c5,-0.5931158662,-1.345158577
"1980307f-8b82-4d1b-870b-576f9685eec4",-1.9382745028000001,1.0748940706
"0b9a260a-12e7-4b00-9970-54d2dd3ac7af",0.8633804321,0.6440086365000001
"068b5acf-48d3-4ac7-ac19-97ff6d8a3cf6",1.5073890686,1.8245551586
"71e77262-604b-4812-967e-dfee689ce953",3.3319442272,0.85273242
"2c98e046-d15d-4e08-b62b-912dd87e98e9",4.1846766472,0.6777448654
d7195c84-00db-44d0-8a11-9de7a1068aa3,4.8624215126,0.7809267044
f7d242da-a201-4575-9dec-2f23d2b61713,5.643348217,0.6130161285
e3ffc427-70d8-4437-891c-c38c7561e8a4,,
"52040f9c-e219-422f-8c5d-8024c136e5f7",6.2563643456,0.7119307518
c272f73e-bd4c-4339-aa81-bec2596e0e02,,
"67c437a0-e0d8-4e21-8b8d-5720d642a051",,
adb47773-877e-4edf-bed3-166d35593805,0.9316996932,-0.6594285369
"68fa5aad-f875-444c-aa58-29fc7a897034",0.2722711563,-0.8637009859
bcdaec3e-79c0-4fee-b181-662eaf93f22d,-0.5914298296,2.6218733788
f5421275-a4e3-4c85-9d02-e4bbd8d53398,2.0304434299,-0.6242358685
"7c8fc73f-5d6a-48e4-a26f-6f81964306ce",1.4062075615,-1.2524147034
dc17eb56-4c67-4de4-a953-ed1cd4dd8d6e,0.1537927985,-1.4467022419
"20d48393-260a-49d4-8512-4a2047a69e23",-1.292909503,-2.0294122696
c2f3da41-151e-4347-ba47-12f72c8d1088,3.3223216534,-0.1074006557
"5cdcc546-da8d-466d-8d2f-694ad811363d",3.2149209976,1.2619671822
"09ff4ed8-4fb9-4e68-8ffc-e31b99af0260",4.4768881798,2.4914069176
"628f2340-c772-43d2-a8e8-8c9aef015991",,
eb391f15-eb86-4687-bb79-7e80d438288f,,
"21f70d16-a3f7-4edb-b93b-6953656d6a9a",0.9815636277,-0.4003925323
"016d7cb9-132f-4294-b367-4ff1dbbac1a0",0.5811710954,1.6053314209
"346c2e55-2ade-4273-8837-04fdb5f15959",2.1865024567,-0.6084879637
"6af7b3f3-50a2-4693-b937-f38612b706cd",1.578014493,-1.3169956207
"8ce126a1-a8ce-4492-9749-23bf54389479",0.2610189021,-1.5030754805000002
